Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
11-09-2018,HDFC,EQ,1883.55,1890,1892.55,1860.45,1872,1868.05,1867.02,4062178,7.58417E+14,131873,1682017,0.4141
12-09-2018,HDFC,EQ,1868.05,1878.9,1886.75,1856.55,1884.75,1877.8,1873.37,2641076,4.94771E+14,137553,1805086,0.6835
14-09-2018,HDFC,EQ,1877.8,1892,1928.95,1882.1,1920,1925.45,1909.27,3521562,6.72363E+14,144854,2417813,0.6866
17-09-2018,HDFC,EQ,1925.45,1910,1910,1871,1877.45,1878.85,1884.45,2164001,4.07795E+14,95396,1474430,0.6813
18-09-2018,HDFC,EQ,1878.85,1877.25,1888.75,1847.05,1850,1855.7,1870.41,2905388,5.43427E+14,88448,2186690,0.7526
19-09-2018,HDFC,EQ,1855.7,1860.4,1864,1824.15,1833.2,1830.65,1841.25,4046901,7.45137E+14,131149,2783767,0.6879
21-09-2018,HDFC,EQ,1830.65,1835.65,1875,1783,1839.4,1839.4,1836.62,6425727,1.18016E+15,216230,4686812,0.7294
24-09-2018,HDFC,EQ,1839.4,1839,1846.25,1702.8,1724,1718.7,1752.33,9026730,1.58178E+15,312842,6951300,0.7701
25-09-2018,HDFC,EQ,1718.7,1728.8,1784,1713.8,1773.35,1773.35,1746.38,7202463,1.25782E+15,274555,4963251,0.6891
26-09-2018,HDFC,EQ,1773.35,1783.6,1806.3,1756.1,1759,1767.45,1772.93,4044415,7.17047E+14,170572,3076352,0.7606
27-09-2018,HDFC,EQ,1767.45,1767.15,1768.75,1726.15,1730,1729,1734.79,5971180,1.03588E+15,186455,4789095,0.802
28-09-2018,HDFC,EQ,1729,1742,1773.5,1736,1750,1754.5,1758.62,6882950,1.21045E+15,192453,5562981,0.8082
01-10-2018,HDFC,EQ,1754.5,1765.7,1817.1,1753.1,1815,1806.35,1781.73,2700216,4.81105E+14,133818,1793589,0.6642
03-10-2018,HDFC,EQ,1806.35,1804.8,1819.45,1785.65,1801.35,1797.55,1803.62,3808517,6.86912E+14,144249,2754649,0.7233
04-10-2018,HDFC,EQ,1797.55,1780,1797.95,1742.35,1775,1778.45,1765.74,4280606,7.55842E+14,127596,2787567,0.6512
05-10-2018,HDFC,EQ,1778.45,1768.7,1775,1683.75,1685,1708.65,1733.69,4109132,7.12396E+14,109769,2755774,0.6706
08-10-2018,HDFC,EQ,1708.65,1695.8,1708.55,1646.55,1676,1667.7,1677.58,4939555,8.28648E+14,257778,3217706,0.6514
09-10-2018,HDFC,EQ,1667.7,1682.7,1734,1671.6,1707.35,1712.75,1716.64,3082730,5.29194E+14,162309,1737541,0.5636
10-10-2018,HDFC,EQ,1712.75,1717.4,1768,1716.65,1738.9,1736.95,1742.06,2358736,4.10906E+14,150782,1431903,0.6071
11-10-2018,HDFC,EQ,1736.95,1690,1724.1,1675.7,1684,1684.55,1691.26,3267234,5.52574E+14,175217,2101854,0.6433
12-10-2018,HDFC,EQ,1684.55,1705.9,1741.5,1694.5,1735.85,1730.3,1727.12,2731113,4.71696E+14,118319,1788748,0.655
15-10-2018,HDFC,EQ,1730.3,1755,1765.5,1703.65,1732,1732.9,1732.64,2996773,5.19233E+14,108023,1621241,0.541
16-10-2018,HDFC,EQ,1732.9,1735,1773.7,1713.15,1756.25,1756.25,1758.43,3427228,6.02654E+14,115235,2210064,0.6449
17-10-2018,HDFC,EQ,1756.25,1772,1775,1729.5,1748,1737.8,1750.3,3584746,6.27437E+14,115536,2686009,0.7493
19-10-2018,HDFC,EQ,1737.8,1725,1760.95,1651.7,1665,1660.25,1697.79,5363667,9.10636E+14,192993,3538757,0.6598
22-10-2018,HDFC,EQ,1660.25,1683.9,1689.7,1649.45,1663,1658.3,1669.93,4632839,7.73654E+14,180278,2757593,0.5952
23-10-2018,HDFC,EQ,1658.3,1645,1710,1644.5,1692.05,1686.75,1691.14,3734275,6.3152E+14,138081,2326530,0.623
24-10-2018,HDFC,EQ,1686.75,1715,1748.5,1706.6,1747.95,1741.45,1724.61,3598576,6.20614E+14,131691,2404445,0.6682
25-10-2018,HDFC,EQ,1741.45,1729.75,1740,1685.05,1706.75,1694.45,1706.96,4435395,7.57106E+14,172747,3043739,0.6862
26-10-2018,HDFC,EQ,1694.45,1694,1719.85,1675.5,1700.35,1702.1,1700.89,2780124,4.72868E+14,139117,1665577,0.5991
29-10-2018,HDFC,EQ,1702.1,1705,1710,1653.05,1706,1698.4,1679.92,5326330,8.94783E+14,172741,3659904,0.6871
30-10-2018,HDFC,EQ,1698.4,1703,1710,1663.2,1671.05,1671.9,1680.37,2073955,3.48501E+14,154424,1249340,0.6024
31-10-2018,HDFC,EQ,1671.9,1678,1774.5,1677.1,1767.2,1769.25,1736.64,6450539,1.12023E+15,197956,4239253,0.6572
01-11-2018,HDFC,EQ,1769.25,1776.8,1794.9,1748.25,1762,1762,1764.01,5142502,9.07141E+14,192929,2990296,0.5815
02-11-2018,HDFC,EQ,1762,1790,1836.9,1765.5,1820,1824.4,1806.7,3701701,6.68786E+14,187813,1999640,0.5402
05-11-2018,HDFC,EQ,1824.4,1811.25,1824.4,1773.35,1798.9,1792.9,1794.02,3291569,5.90514E+14,189576,2081012,0.6322
06-11-2018,HDFC,EQ,1792.9,1801.4,1814,1783.1,1802,1805.9,1799.53,2033692,3.65968E+14,94553,1093871,0.5379
07-11-2018,HDFC,EQ,1805.9,1813.55,1819,1807.65,1812.6,1815.85,1815.07,124505,2.25985E+13,5664,37583,0.3019
09-11-2018,HDFC,EQ,1815.85,1820,1832.7,1780,1824.95,1816.1,1813.72,4002556,7.25953E+14,199401,2818917,0.7043
12-11-2018,HDFC,EQ,1816.1,1817.1,1838.45,1789.35,1797,1795.9,1810.69,2020191,3.65794E+14,95814,1231356,0.6095
13-11-2018,HDFC,EQ,1795.9,1790,1829,1784.55,1825,1824.7,1807.92,1812035,3.27601E+14,86483,1048543,0.5787
14-11-2018,HDFC,EQ,1824.7,1836,1850,1830.25,1838,1839.15,1840.11,2899132,5.33473E+14,130092,2111592,0.7284
15-11-2018,HDFC,EQ,1839.15,1837,1858,1824.2,1849,1853.6,1844.57,1666149,3.07334E+14,95824,993331,0.5962
16-11-2018,HDFC,EQ,1853.6,1861,1892.9,1850,1884.05,1889,1878.88,2925841,5.49731E+14,90260,1675435,0.5726
19-11-2018,HDFC,EQ,1889,1899.95,1906.95,1872.8,1893.2,1899.35,1891.81,2675368,5.06128E+14,82780,1881839,0.7034
20-11-2018,HDFC,EQ,1899.35,1890,1904,1872.05,1878.8,1876.8,1882.93,2123458,3.99833E+14,95605,1410992,0.6645
21-11-2018,HDFC,EQ,1876.8,1877.1,1891.25,1864,1872.15,1868.15,1873.76,2394930,4.48752E+14,115206,1727308,0.7212
22-11-2018,HDFC,EQ,1868.15,1872,1889.2,1866.65,1874.7,1873.7,1880.34,1646774,3.0965E+14,91847,1141035,0.6929
26-11-2018,HDFC,EQ,1873.7,1883.9,1891.3,1869,1884.5,1884.65,1882.83,2375787,4.47321E+14,98126,1750243,0.7367
27-11-2018,HDFC,EQ,1884.65,1884.65,1908.8,1870,1903,1901.7,1892.65,2486736,4.70653E+14,113255,1669929,0.6715
28-11-2018,HDFC,EQ,1901.7,1909,1930.9,1907.15,1924,1928,1920.81,3140874,6.03303E+14,133783,2290577,0.7293
29-11-2018,HDFC,EQ,1928,1940,1965,1935,1964.5,1956.3,1949.63,3832797,7.47254E+14,185723,2923038,0.7626
30-11-2018,HDFC,EQ,1956.3,1970,1998.75,1962.8,1992,1989,1982.42,4236401,8.39831E+14,182921,3029508,0.7151
03-12-2018,HDFC,EQ,1989,2000.15,2017,1955,1976.4,1980.75,1989.66,3249616,6.46562E+14,158261,2167935,0.6671
04-12-2018,HDFC,EQ,1980.75,1980,1980,1917.7,1942.85,1939.45,1937.54,3914521,7.58454E+14,231528,2479313,0.6334
05-12-2018,HDFC,EQ,1939.45,1927,1979.8,1920.6,1970.5,1973.3,1952.48,3147110,6.14467E+14,185824,2079652,0.6608
06-12-2018,HDFC,EQ,1973.3,1955.05,1969.8,1938,1941,1945.8,1960.13,4278616,8.38665E+14,128460,3026894,0.7074
07-12-2018,HDFC,EQ,1945.8,1946.9,1961.3,1929.1,1957.95,1951.35,1943.81,2442617,4.74799E+14,130686,1673973,0.6853
10-12-2018,HDFC,EQ,1951.35,1924.35,1939.9,1901.25,1905,1906.5,1917.18,2182278,4.18381E+14,138973,1456473,0.6674
11-12-2018,HDFC,EQ,1906.5,1878,1912.65,1855.25,1904,1905.25,1885.14,3547051,6.68669E+14,141366,2180591,0.6148
12-12-2018,HDFC,EQ,1905.25,1912,1946.8,1904.25,1937,1940.2,1923.88,2228690,4.28773E+14,115636,1443896,0.6479
13-12-2018,HDFC,EQ,1940.2,1945,1961.9,1927.9,1941.45,1942.05,1943.93,2778618,5.40144E+14,124486,1837952,0.6615
14-12-2018,HDFC,EQ,1942.05,1945,1955,1898.05,1909.6,1904.1,1913.13,3459751,6.61894E+14,190423,2270413,0.6562
17-12-2018,HDFC,EQ,1904.1,1915,1963.4,1913.7,1963,1960.35,1942.9,2030693,3.94544E+14,142060,1213372,0.5975
18-12-2018,HDFC,EQ,1960.35,1955,1957.9,1932.5,1949.05,1952,1943.92,2121103,4.12325E+14,121417,1225510,0.5778
19-12-2018,HDFC,EQ,1952,1954,1985.5,1948.55,1979.8,1981.7,1973.76,2560551,5.05392E+14,146398,1737845,0.6787
20-12-2018,HDFC,EQ,1981.7,1970,1982,1943.05,1977,1974.7,1960.03,1829220,3.58533E+14,151633,822136,0.4494
21-12-2018,HDFC,EQ,1974.7,1974.8,1979.6,1930,1943.45,1948.6,1951.03,4016548,7.83639E+14,191137,2537700,0.6318
24-12-2018,HDFC,EQ,1948.6,1955,1955,1898,1906.75,1902.15,1925.72,2207727,4.25146E+14,88330,1113635,0.5044
26-12-2018,HDFC,EQ,1902.15,1896,1944.7,1883.2,1938,1933.35,1910.4,1536116,2.93459E+14,63129,556553,0.3623
27-12-2018,HDFC,EQ,1933.35,1948.45,1955,1930,1946.3,1948.85,1943.86,1645443,3.19852E+14,91461,853630,0.5188
28-12-2018,HDFC,EQ,1948.85,1959,1990,1952,1978.15,1979.95,1981.67,2384400,4.7251E+14,140963,1426126,0.5981
31-12-2018,HDFC,EQ,1979.95,1988,1989.75,1961.55,1965,1968.35,1971.07,2289993,4.51374E+14,105787,1573651,0.6872
01-01-2019,HDFC,EQ,1968.35,1968,2014.7,1954.5,2010,2009,1990.57,1305443,2.59858E+14,38275,550585,0.4218
02-01-2019,HDFC,EQ,2009,2004.7,2009,1961,1983,1980.65,1984.08,2001170,3.97048E+14,98280,664392,0.332
03-01-2019,HDFC,EQ,1980.65,1984.05,1987.1,1931.85,1937,1936.85,1950.27,3732193,7.27878E+14,164907,2383871,0.6387
04-01-2019,HDFC,EQ,1936.85,1948,1976,1942,1973,1972.6,1957.64,2109614,4.12987E+14,109267,1090688,0.517
07-01-2019,HDFC,EQ,1972.6,1976.95,1987.5,1963.95,1974,1972.9,1975.79,2255477,4.45635E+14,103782,1534212,0.6802
08-01-2019,HDFC,EQ,1972.9,1983,1983,1948,1955.85,1958.95,1959.5,2061919,4.04033E+14,116508,1286819,0.6241
09-01-2019,HDFC,EQ,1958.95,1962,1998,1962,1991.3,1994.95,1980.98,2905090,5.75493E+14,140547,1993913,0.6864
10-01-2019,HDFC,EQ,1994.95,1993,1993,1971.3,1976,1980.1,1980.17,2138302,4.23421E+14,132922,1335881,0.6247
